"Key","Issue Type","Summary","Status","Created","Priority","Motivo Impedimento","Fix versions","Backlog","Developer Testing","Done","In Progress","Open","Presa in carico","READY IN HOTFIX","rejected","Released","TESTING IN HOTFIX","To Do-RESEVO","Waiting for support","Waiting for Support (II° Level)-10104","Total","'->Backlog","'->Developer Testing","'->Done","'->In Progress","'->Open","'->Presa in carico","'->READY IN HOTFIX","'->rejected","'->Released","'->TESTING IN HOTFIX","'->To Do-RESEVO","'->Waiting for support","'->Waiting for Support (II° Level)-10104"
"RAM-966","Bug","Cambio stagionalità - viaggi gestione","Released","2025-12-23 12:44","Medium","","hotfix-5.424.74","0","101","4,698","37","-","300","0","-","8,591","12","-","-","-","13,740","2025-12-23 12:44","2025-12-24 09:37","2025-12-24 11:30","2025-12-23 18:12","","2025-12-23 12:45","2025-12-24 11:18","","2026-01-07 09:48","2025-12-24 11:18","","",""
"RAM-965","Bug","Visualizzazione Viaggi Gestione","Released","2025-12-23 12:33","Low","","hotfix-5.424.74","0","0","2,607","710","-","1,830","0","-","8,591","2","-","-","-","13,740","2025-12-23 12:33","2025-12-30 15:19","2025-12-30 15:22","2025-12-29 10:29","","2025-12-23 12:34","2025-12-30 15:19","","2026-01-07 09:48","2025-12-30 15:19","","",""
"RAM-964","Task","Ottimizzazione Allocato Viaggio","Released","2025-12-23 11:18","Low","","hotfix-5.424.74","406","73","4,456","242","-","0","1","-","8,600","4","-","-","-","13,782","2025-12-23 11:18","2025-12-24 15:06","2025-12-24 16:23","2025-12-24 10:04","","2025-12-24 10:04","2025-12-24 16:19","","2026-01-07 09:40","2025-12-24 16:20","","",""
"RAM-963","Task","Error while checking MyGnvPassenger info for myGnvId","Released","2025-12-23 09:15","Low","","hotfix-5.424.74","29","0","5,227","46","-","0","0","-","8,600","2","-","-","-","13,904","2025-12-23 09:15","2025-12-23 10:30","2025-12-23 10:32","2025-12-23 09:44","","2025-12-23 09:44","2025-12-23 10:30","","2026-01-07 09:40","2025-12-23 10:30","","",""
"RAM-962","Bug","Eventi Sostituzione Biglietto Nell'evento non si capisce se sono stati sostituiti tutti e due o solo uno ","rejected","2025-12-23 09:06","Medium","","","2","-","-","-","-","-","-","13,912","-","-","-","-","-","13,914","2025-12-23 09:06","","","","","","","2025-12-23 09:07","","","","",""
"RAM-961","Task","Ripristino ambiente QA dopo ribaltamento","Released","2025-12-23 08:59","High","","","0","0","0","64","-","116","0","-","13,740","0","-","-","-","13,920","2025-12-23 08:59","2025-12-23 12:49","2025-12-23 12:49","2025-12-23 10:55","","2025-12-23 08:59","2025-12-23 12:49","","2025-12-23 12:49","2025-12-23 12:49","","",""
"RAM-960","Task","Ripristino ambiente PREPROD dopo ribaltamento dati","Released","2025-12-23 08:58","Critical","","","0","0","0","146","-","5","0","-","13,769","0","-","-","-","13,920","2025-12-23 08:58","2025-12-23 11:30","2025-12-23 11:31","2025-12-23 09:04","","2025-12-23 08:59","2025-12-23 11:30","","2025-12-23 11:31","2025-12-23 11:31","","",""
"RAM-959","Task","Eventi Sostituzione Biglietto Nell'evento non si capisce se sono stati sostituiti tutti e due o solo uno ","Released","2025-12-22 18:21","Medium","","hotfix-5.424.74","0","232","4,840","141","-","39","0","-","8,600","68","-","-","-","13,920","2025-12-22 18:21","2025-12-23 12:23","2025-12-24 08:57","2025-12-23 09:38","","2025-12-22 18:22","2025-12-23 16:51","","2026-01-07 09:40","2025-12-23 16:52","","",""
"RAM-958","Task","[FE] Errore su stampa reversale","Released","2025-12-22 15:20","Low","","hotfix-5.424.74","933","57","4,455","27","-","2","3","-","8,600","2","-","-","-","14,080","2025-12-22 15:20","2025-12-24 15:22","2025-12-24 16:24","2025-12-24 14:55","","2025-12-24 14:53","2025-12-24 16:19","","2026-01-07 09:40","2025-12-24 16:22","","",""
"RAM-957","Task","Fix generazione hash booking","Released","2025-12-22 15:17","Critical","","hotfix-5.424.74","0","0","5,024","342","-","0","116","-","8,600","0","-","-","-","14,082","2025-12-22 15:17","2025-12-23 12:50","2025-12-23 14:56","2025-12-22 15:17","","2025-12-22 15:17","2025-12-23 12:50","","2026-01-07 09:40","2025-12-23 14:56","","",""
"RAM-956","Task","[FE] Pagina reversali","Done","2025-12-22 13:03","Low","","NEXT-RC","5,842","0","7,675","699","-","0","0","-","-","0","-","-","-","14,217","2025-12-22 13:03","2026-01-09 09:04","2026-01-09 09:04","2026-01-07 14:25","","2026-01-07 14:25","2026-01-09 09:04","","","2026-01-09 09:04","","",""
"RAM-955","Bug","PROBLEMA VALIDAZIONE REVERSALE","Released","2025-12-22 11:25","High","","","-","0","0","165","-","-","0","-","14,089","0","-","0","-","14,255","","2025-12-22 15:10","2025-12-22 15:10","2025-12-22 11:25","","","2025-12-22 15:10","","2025-12-22 15:10","2025-12-22 15:10","","2025-12-22 11:25",""
"RAM-954","Bug","Inserimento passeggeri","Released","2025-12-22 11:13","Medium","","hotfix-5.424.74","0","33","5,179","319","-","46","89","-","8,600","0","-","-","-","14,267","2025-12-22 11:13","2025-12-23 09:19","2025-12-23 11:20","2025-12-22 12:30","","2025-12-22 11:13","2025-12-23 09:52","","2026-01-07 09:40","2025-12-23 11:20","","",""
"RAM-953","Task","Allineare ambiente hotfix con la RC","Released","2025-12-22 10:29","High","","","2","0","0","86","-","2","0","-","14,220","0","-","-","-","14,311","2025-12-22 10:29","2025-12-22 12:55","2025-12-22 12:55","2025-12-22 10:33","","2025-12-22 10:31","2025-12-22 12:55","","2025-12-22 12:55","2025-12-22 12:55","","",""
"RAM-952","Task","[FE] Nome attributo errato in ordinamento su TicketHeaderIndex","Released","2025-12-22 10:11","Low","","hotfix-5.424.74","26","0","5,620","82","-","0","0","-","8,600","0","-","-","-","14,329","2025-12-22 10:11","2025-12-22 12:49","2025-12-22 12:50","2025-12-22 10:37","","2025-12-22 10:37","2025-12-22 12:49","","2026-01-07 09:40","2025-12-22 12:49","","",""
"RAM-951","Bug","Visualizzazione popup orari di arrivo","Released","2025-12-19 18:41","Low","","hotfix-5.424.74","0","0","3,307","2,427","-","6","0","-","8,600","60","-","-","-","14,400","2025-12-19 18:41","2025-12-29 09:32","2025-12-29 10:33","2025-12-22 09:06","","2025-12-19 18:44","2025-12-29 09:32","","2026-01-07 09:40","2025-12-29 09:32","","",""
"RAM-950","Task","[booking-service] NullPointerException in TicketResourceDetailService","Released","2025-12-19 18:04","Low","","hotfix-5.424.74","0","180","5,620","0","-","0","0","-","8,600","0","-","-","-","14,400","2025-12-19 18:04","2025-12-19 18:17","2025-12-22 12:57","2025-12-19 18:04","","2025-12-19 18:04","2025-12-22 12:56","","2026-01-07 09:40","2025-12-22 12:57","","",""
"RAM-949","Task","goalprsve2e1: /resevo: Disk space is critically low (used > 95%)","Released","2025-12-19 15:17","High","","","-","0","0","593","0","-","0","-","13,969","0","-","-","-","14,563","","2025-12-22 17:10","2025-12-22 17:10","2025-12-19 15:17","2025-12-19 15:17","","2025-12-22 17:10","","2025-12-22 17:10","2025-12-22 17:10","","",""
"RAM-948","Task","Aggiornamento critico Resevo SB34","rejected","2025-12-19 10:52","Low","","","-","-","-","68","0","-","-","14,700","-","-","-","-","-","14,768","","","","2025-12-19 10:52","2025-12-19 10:52","","","2025-12-19 12:16","","","","",""
"RAM-947","Bug","GESTIONE VIAGGI - GENERAZIONE MAPPA","Released","2025-12-19 10:33","Medium","","hotfix-5.424.74","1","114","5,620","434","-","18","0","-","8,600","0","-","-","-","14,787","2025-12-19 10:33","2025-12-22 10:05","2025-12-22 12:45","2025-12-19 10:51","","2025-12-19 10:33","2025-12-22 12:16","","2026-01-07 09:40","2025-12-22 12:16","","",""
"RAM-946","Task","[FE] voy-pre-assignments aggiunta snackbar","Released","2025-12-19 10:13","Low","","hotfix-5.424.74","1,721","32","4,428","0","-","25","0","-","8,600","0","-","-","-","14,806","2025-12-19 10:13","2025-12-24 16:20","2025-12-24 16:51","2025-12-24 16:20","","2025-12-24 15:54","2025-12-24 16:51","","2026-01-07 09:40","2025-12-24 16:51","","",""
"RAM-945","Bug","disponibilità viaggio ","Released","2025-12-18 15:49","High","","hotfix-5.283.147","2","0","18","45","-","16","0","-","14,930","0","-","-","-","15,011","2025-12-18 15:49","2025-12-18 16:52","2025-12-18 16:52","2025-12-18 16:07","","2025-12-18 15:51","2025-12-18 16:52","","2025-12-18 17:10","2025-12-18 16:52","","",""
"RAM-944","Bug","GESTIONE VIAGGI - PREASSEGNAZIONE","Released","2025-12-18 12:19","High","","C4(R3.2) - F2(R1)","0","57","411","277","-","0","36","-","14,400","0","-","-","-","15,180","2025-12-18 12:19","2025-12-18 17:36","2025-12-19 10:09","2025-12-18 12:26","","2025-12-18 12:20","2025-12-19 09:33","","2025-12-22 04:37","2025-12-19 10:09","","",""
"RAM-943","Task","[FE] - Invalid date reversals/seraches","Released","2025-12-18 12:10","Low","","hotfix-5.424.74","3,981","15","2,372","210","-","0","0","-","8,600","2","-","-","-","15,180","2025-12-18 12:10","2025-12-31 09:51","2025-12-31 10:08","2025-12-30 15:21","","2025-12-30 15:21","2025-12-31 10:06","","2026-01-07 09:40","2025-12-31 10:06","","",""
"RAM-942","Task","goalprsve2e1: /resevo: Disk space is critically low (used > 95%)","Released","2025-12-18 10:55","High","","","-","0","0","14","0","-","0","-","15,231","0","-","-","-","15,245","","2025-12-18 11:09","2025-12-18 11:09","2025-12-18 10:55","2025-12-18 10:55","","2025-12-18 11:09","","2025-12-18 11:09","2025-12-18 11:09","","",""
"RAM-941","Task","Instrumentare Payment","Presa in carico","2025-12-17 17:06","High","","","13,663","-","-","-","-","1,751","-","-","-","-","-","-","-","15,413","2025-12-17 17:06","","","","","2026-01-27 11:49","","","","","","",""
"RAM-940","Task","[pricing-service] NullPointerException in VoyEventMessageListener","Released","2025-12-17 17:06","Low","","C4(R3.2) - F2(R1)","1","317","692","4","-","0","0","-","14,400","0","-","-","-","15,414","2025-12-17 17:06","2025-12-17 17:11","2025-12-18 14:27","2025-12-17 17:06","","2025-12-17 17:06","2025-12-18 14:27","","2025-12-22 04:37","2025-12-18 14:27","","",""
"RAM-939","Task","Instrumentare Cart-lib","Released","2025-12-17 17:05","High","","","6,061","147","0","3,715","-","0","0","-","4,047","1,444","-","-","-","15,414","2025-12-17 17:05","2026-01-15 11:02","2026-01-20 14:33","2026-01-05 14:07","","2026-01-05 14:07","2026-01-15 14:28","","2026-01-20 14:33","2026-01-15 14:28","","",""
"RAM-938","Task","Instrumentare Saga-lib","Released","2025-12-17 17:03","High","","hotfix-5.424.74","1,128","0","820","4,866","-","0","0","-","8,600","2","-","-","-","15,416","2025-12-17 17:03","2026-01-05 11:57","2026-01-05 12:39","2025-12-22 10:51","","2025-12-22 10:51","2026-01-05 11:58","","2026-01-07 09:40","2026-01-05 11:58","","",""
"RAM-937","Task","Instrumentare Job quartz","Released","2025-12-17 16:58","High","","C4(R3.2) - F2(R1)","0","0","0","541","-","0","0","-","14,400","480","-","-","-","15,421","2025-12-17 16:58","2025-12-18 20:01","2025-12-22 04:36","2025-12-17 16:59","","2025-12-17 16:59","2025-12-18 20:01","","2025-12-22 04:37","2025-12-18 20:02","","",""
"RAM-936","Task",">>> No static resource reversals/code","Released","2025-12-17 15:22","Low","","hotfix-5.424.74","23","168","5,620","1,106","-","0","0","-","8,600","0","-","-","-","15,517","2025-12-17 15:22","2025-12-22 09:11","2025-12-22 12:58","2025-12-17 15:45","","2025-12-17 15:45","2025-12-22 12:56","","2026-01-07 09:40","2025-12-22 12:58","","",""
"RAM-935","Bug","Visualizzazione orari variazione","Released","2025-12-16 14:52","Medium","","hotfix-5.283.147","0","0","296","741","-","28","28","-","14,930","4","-","-","-","16,027","2025-12-16 14:52","2025-12-18 10:41","2025-12-18 11:13","2025-12-16 15:21","","2025-12-16 14:53","2025-12-18 10:41","","2025-12-18 17:10","2025-12-18 11:10","","",""
"RAM-934","Bug","VIAGGI GESTIONE - GENERAZIONE MAPPA","rejected","2025-12-16 12:41","High","","","0","-","-","0","-","0","-","16,140","-","-","-","-","-","16,140","2025-12-16 12:41","","","2025-12-16 12:41","","2025-12-16 12:41","","2025-12-16 12:42","","","","",""
"RAM-933","Bug","GESTIONE VIAGGI - PREASSEGNAZIONI","Released","2025-12-16 11:20","High","","hotfix-5.283.141","1","59","107","276","-","4","0","-","15,733","0","-","-","-","16,180","2025-12-16 11:20","2025-12-16 17:00","2025-12-16 18:35","2025-12-16 11:24","","2025-12-16 11:20","2025-12-16 18:35","","2025-12-17 10:47","2025-12-16 18:35","","",""
"RAM-932","Bug","VIAGGI GESTIONE - GENERAZIONE MAPPA","Released","2025-12-16 09:57","High","","hotfix-5.283.141","1","81","167","244","-","37","0","-","15,733","0","-","-","-","16,262","2025-12-16 09:57","2025-12-16 15:39","2025-12-16 17:00","2025-12-16 10:35","","2025-12-16 09:58","2025-12-16 17:00","","2025-12-17 10:47","2025-12-16 17:00","","",""
"RAM-931","Task","[RC][booking-service] Errore in SearchTicketPassengerInfoCommand","Released","2025-12-15 16:23","Medium","","C4(R3.2) - F2(R1)","0","84","1,930","0","-","0","2","-","14,400","0","-","-","-","16,416","2025-12-15 16:23","2025-12-15 16:24","2025-12-15 17:50","2025-12-15 16:24","","2025-12-15 16:24","2025-12-15 17:48","","2025-12-22 04:37","2025-12-15 17:50","","",""
"RAM-930","Task","Miglioramento performance endpoint http://api.resevo.gnv.com/api/v1/voy/voy-pre-assignments/ticket-resource/voy/{voyId}","Released","2025-12-15 11:29","Medium","","C4(R3.2) - F2(R1)","30","0","1,625","289","-","0","306","-","14,400","0","-","-","-","16,650","2025-12-15 11:29","2025-12-15 17:48","2025-12-16 14:54","2025-12-15 12:51","","2025-12-15 12:51","2025-12-15 17:48","","2025-12-22 04:37","2025-12-16 14:54","","",""
"RAM-929","Bug","GESTIONE VIAGGI - GENERAZIONE MAPPA NAVE","Released","2025-12-15 10:44","High","","","1","0","0","26","-","16","0","-","16,653","0","-","-","-","16,696","2025-12-15 10:44","2025-12-15 11:26","2025-12-15 11:27","2025-12-15 11:01","","2025-12-15 10:44","2025-12-15 11:26","","2025-12-15 11:27","2025-12-15 11:27","","",""
"RAM-928","Task","goalprsvpooldev: /resevo: Disk space is critically low (used > 95%)","Released","2025-12-12 15:22","High","","","-","0","0","338","0","-","0","-","16,620","0","-","-","-","16,958","","2025-12-15 12:07","2025-12-15 12:07","2025-12-12 15:22","2025-12-12 15:22","","2025-12-15 12:07","","2025-12-15 12:07","2025-12-15 12:07","","",""
"RAM-927","Task","[voy-service] NullPointerException in ricerca booking options","Released","2025-12-12 15:03","Low","","hotfix-5.283.141","0","43","1,148","53","-","0","0","-","15,733","0","-","-","-","16,977","2025-12-12 15:03","2025-12-12 15:56","2025-12-12 16:39","2025-12-12 15:03","","2025-12-12 15:03","2025-12-12 16:39","","2025-12-17 10:47","2025-12-12 16:39","","",""
"RAM-926","Task","[booking-service] Censire mapping per risorse mancanti in InfoVoyBookingDataRto","Released","2025-12-12 12:08","Medium","","hotfix-5.283.141","269","10","1,067","21","-","0","0","-","15,733","0","-","-","-","17,100","2025-12-12 12:08","2025-12-12 17:49","2025-12-12 18:09","2025-12-12 17:28","","2025-12-12 17:28","2025-12-12 18:09","","2025-12-17 10:47","2025-12-12 18:09","","",""
"RAM-925","Task","[booking-service] NullPointerException in export ticket header voy info","Released","2025-12-12 11:58","Medium","","hotfix-5.283.141","0","220","1,148","0","-","0","1","-","15,733","0","-","-","-","17,101","2025-12-12 11:58","2025-12-12 11:59","2025-12-12 16:39","2025-12-12 11:59","","2025-12-12 11:59","2025-12-12 16:39","","2025-12-17 10:47","2025-12-12 16:39","","",""
"RAM-924","Task","NullPointerException in BaseLoggingFlushEventListener","Released","2025-12-12 11:01","Low","","C4(R3.2) - F2(R1)","0","238","2,479","41","-","0","0","-","14,400","0","-","-","-","17,159","2025-12-12 11:01","2025-12-12 11:42","2025-12-12 16:41","2025-12-12 11:01","","2025-12-12 11:01","2025-12-12 16:41","","2025-12-22 04:37","2025-12-12 16:41","","",""
"RAM-923","Task","goalprsve2e1: /resevo: Disk space is critically low (used > 95%)","Released","2025-12-12 09:31","High","","","-","0","0","10","0","-","0","-","17,239","0","-","-","-","17,249","","2025-12-12 09:40","2025-12-12 09:40","2025-12-12 09:31","2025-12-12 09:31","","2025-12-12 09:40","","2025-12-12 09:41","2025-12-12 09:40","","",""
"RAM-922","Task","[portauthority-service] NullPointerException in elaborazione sync event Boarding Pass","Released","2025-12-12 09:04","Low","","hotfix-5.283.141","0","314","1,148","80","-","0","1","-","15,733","0","-","-","-","17,276","2025-12-12 09:04","2025-12-12 10:24","2025-12-12 16:39","2025-12-12 09:04","","2025-12-12 09:04","2025-12-12 16:39","","2025-12-17 10:47","2025-12-12 16:39","","",""
"RAM-921","Bug","Importo unitario e totale delle risorse su carrello OLTA presenta erroneamente la notazione esponenziale","Released","2025-12-10 10:38","Medium","","hotfix-5.283.141","1","0","2,146","240","-","0","2","-","15,733","21","-","-","-","18,142","2025-12-10 10:38","2025-12-10 15:38","2025-12-10 16:01","2025-12-10 10:39","","2025-12-10 10:39","2025-12-10 15:39","","2025-12-17 10:47","2025-12-10 15:41","","",""
"RAM-920","Bug","Viaggi Gestione - Gestione Mappa Viaggio - di default visualizzare un maggior numero di righe senza lasciare metà griglia vuota","Released","2025-12-09 16:06","Low","","hotfix-5.283.141","1","0","2,032","339","-","170","26","-","15,733","53","-","-","-","18,354","2025-12-09 16:06","2025-12-10 16:35","2025-12-10 17:55","2025-12-10 09:56","","2025-12-09 16:06","2025-12-10 16:35","","2025-12-17 10:47","2025-12-10 17:01","","",""
"RAM-919","Bug","GESTIONE RISORSE NAVE - ERRORE SU GENERAZIONE MAPPA","Released","2025-12-09 13:37","High","","hotfix-5.283.134","28","0","29","15","-","2","0","-","18,390","39","-","-","-","18,502","2025-12-09 13:37","2025-12-09 14:22","2025-12-09 15:00","2025-12-09 14:07","","2025-12-09 14:05","2025-12-09 14:22","","2025-12-09 15:29","2025-12-09 14:22","","",""
"RAM-918","Task","Errore in CreateVoyShipMapComparisonSaga","Released","2025-12-09 10:55","High","","hotfix-5.283.134","13","0","28","14","-","120","0","-","18,390","39","-","-","-","18,605","2025-12-09 10:55","2025-12-09 14:22","2025-12-09 15:01","2025-12-09 14:07","","2025-12-09 11:07","2025-12-09 14:22","","2025-12-09 15:29","2025-12-09 14:22","","",""
"RAM-917","[System] Service request","RICHIESTA ALERT SUL PROGRAMMA ""GENERAZIONE OPERATIVO VIAGGI""","rejected","2025-12-05 18:01","Medium","","","0","-","-","-","-","0","-","19,200","-","-","-","-","-","19,200","2025-12-05 18:01","","","","","2025-12-05 18:02","","2025-12-05 18:04","","","","",""
"RAM-916","Sub-task","Ottimizzazione recupero dati","Released","2025-12-05 17:31","Low","","hotfix-5.424.90","0","63","1,228","11,172","-","0","0","-","6,679","86","-","-","-","19,228","2025-12-05 17:31","2026-01-08 10:43","2026-01-08 14:12","2025-12-05 17:31","","2025-12-05 17:31","2026-01-08 11:46","","2026-01-13 09:40","2026-01-08 11:46","","",""
"RAM-915","Bug","Codice myGNV","rejected","2025-12-05 15:26","High","","","3","-","-","-","-","-","-","19,350","-","-","-","-","-","19,353","2025-12-05 15:26","","","","","","","2025-12-05 15:30","","","","",""
"RAM-914","Bug","Codice myGNV","rejected","2025-12-05 15:26","High","","","2","-","-","2,667","-","23","-","16,661","-","-","-","-","-","19,353","2025-12-05 15:26","","","2025-12-05 15:51","","2025-12-05 15:28","","2025-12-15 11:19","","","","",""
"RAM-913","Bug","Visibilità disponibilità viaggio","Released","2025-12-05 14:50","Medium","","hotfix-5.283.133","0","0","721","11","-","23","0","-","18,633","0","-","-","-","19,389","2025-12-05 14:50","2025-12-05 15:25","2025-12-05 15:25","2025-12-05 15:14","","2025-12-05 14:51","2025-12-05 15:25","","2025-12-09 10:26","2025-12-05 15:25","","",""
"RAM-912","Sub-task","Ottimizzazione recupero Customers e BolCounterPart","Released","2025-12-05 10:51","Low","","hotfix-5.283.133","0","49","867","19","-","0","0","-","18,633","0","-","-","-","19,569","2025-12-05 10:51","2025-12-05 11:10","2025-12-05 12:18","2025-12-05 10:51","","2025-12-05 10:51","2025-12-05 11:59","","2025-12-09 10:26","2025-12-05 11:59","","",""
"RAM-911","Task","[voy-service] Errore in ricerca viaggi","Released","2025-12-04 16:42","Low","","hotfix-5.283.133","19","22","996","82","-","0","0","-","18,633","4","-","-","-","19,757","2025-12-04 16:42","2025-12-05 09:23","2025-12-05 09:50","2025-12-04 17:01","","2025-12-04 17:01","2025-12-05 09:46","","2025-12-09 10:26","2025-12-05 09:46","","",""
"RAM-910","Task","Tracing indicizzazioni","Released","2025-12-04 11:49","Low","","C4(R3.2) - F2(R1)","490","261","4,839","0","-","0","0","-","14,400","0","-","-","-","19,990","2025-12-04 11:49","2025-12-05 12:25","2025-12-05 17:20","2025-12-05 12:11","","2025-12-05 12:11","2025-12-05 17:20","","2025-12-22 04:37","2025-12-05 17:20","","",""
"RAM-909","Task","goalprsve2e1: /resevo: Disk space is low (used > 90%)","Released","2025-12-03 16:48","Medium","","","-","0","0","13","0","-","0","-","20,218","0","-","-","-","20,232","","2025-12-03 17:01","2025-12-03 17:01","2025-12-03 16:48","2025-12-03 16:48","","2025-12-03 17:01","","2025-12-03 17:01","2025-12-03 17:01","","",""
"RAM-908","Task","goalhrsvms3: /resevo: Disk space is low (used > 90%)","Released","2025-12-03 16:47","Medium","","","-","0","0","9","0","-","0","-","20,223","0","-","-","-","20,233","","2025-12-03 16:56","2025-12-03 16:56","2025-12-03 16:47","2025-12-03 16:47","","2025-12-03 16:56","","2025-12-03 16:56","2025-12-03 16:56","","",""
"RAM-907","Task","goalhrsvms2: /resevo: Disk space is low (used > 90%)","Released","2025-12-03 16:46","Medium","","","-","0","0","10","0","-","0","-","20,224","0","-","-","-","20,233","","2025-12-03 16:56","2025-12-03 16:56","2025-12-03 16:46","2025-12-03 16:46","","2025-12-03 16:56","","2025-12-03 16:56","2025-12-03 16:56","","",""
"RAM-906","Task","goalhrsvms1: /resevo: Disk space is low (used > 90%)","Released","2025-12-03 16:45","Medium","","","-","0","0","10","0","-","0","-","20,224","0","-","-","-","20,235","","2025-12-03 16:55","2025-12-03 16:56","2025-12-03 16:45","2025-12-03 16:45","","2025-12-03 16:56","","2025-12-03 16:56","2025-12-03 16:56","","",""
"RAM-905","Bug","LIMITI PAX/METRI VIAGGI GESTIONE","Released","2025-12-03 16:31","Low","","hotfix-5.283.133","1","27","1,347","234","-","7","0","-","18,633","0","-","-","-","20,249","2025-12-03 16:31","2025-12-04 11:32","2025-12-04 12:48","2025-12-03 16:39","","2025-12-03 16:31","2025-12-04 12:18","","2025-12-09 10:26","2025-12-04 12:18","","",""
"RAM-904","Task","Gestione MECHANIZED_TICKETING_FLAG come Character","Released","2025-12-03 15:58","Low","","C4(R3.2) - F2(R1)","285","441","4,831","317","-","0","1","-","14,400","8","-","-","-","20,282","2025-12-03 15:58","2025-12-04 19:01","2025-12-05 17:29","2025-12-04 11:43","","2025-12-04 11:43","2025-12-05 17:20","","2025-12-22 04:37","2025-12-05 17:21","","",""
"RAM-903","[System] Service request","A seguito di una modifica di un'agenzia si deve preservare il flag MECHANIZED_TICKETING_FLAG sulla tabella RSV_USER.AGENCY","Released","2025-12-03 12:06","Medium","","hotfix-5.283.126","0","0","0","119","-","98","0","-","20,096","147","-","-","-","20,460","2025-12-03 12:06","2025-12-03 16:36","2025-12-04 10:03","2025-12-03 14:37","","2025-12-03 12:06","2025-12-03 16:36","","2025-12-04 10:03","2025-12-03 16:36","","",""
"RAM-902","Bug","adv non riesce a visualizzare le ultime emissioni dal portale ","Released","2025-12-03 11:18","High","","hotfix-5.283.126","10","23","127","67","-","113","38","-","20,096","28","-","-","-","20,502","2025-12-03 11:18","2025-12-03 15:27","2025-12-03 16:56","2025-12-03 14:20","","2025-12-03 11:27","2025-12-03 15:50","","2025-12-04 10:03","2025-12-03 16:28","","",""
"RAM-901","Task","[Pulizia elementi deprecati] it.gnv.resevo.domain.DocumentType","Released","2025-12-03 10:56","Lowest","","hotfix-5.283.126","1","228","135","63","-","0","0","-","20,096","0","-","-","-","20,524","2025-12-03 10:56","2025-12-03 12:41","2025-12-03 16:48","2025-12-03 10:57","","2025-12-03 10:57","2025-12-03 16:48","","2025-12-04 10:03","2025-12-03 16:48","","",""
"RAM-900","Bug","Problema  con pagamenti stripe ","Released","2025-12-02 17:16","Critical","","","3","0","0","20","-","2","0","-","20,659","0","-","-","-","20,683","2025-12-02 17:16","2025-12-02 17:40","2025-12-02 17:40","2025-12-02 17:20","","2025-12-02 17:19","2025-12-02 17:40","","2025-12-02 17:40","2025-12-02 17:40","","",""
"RAM-899","Bug","Griglia sconti - Percentuali di sconto in formato stringa","Released","2025-12-02 12:24","High","","hotfix-5.283.126","0","99","553","184","-","8","0","-","20,096","0","-","-","-","20,940","2025-12-02 12:24","2025-12-02 16:11","2025-12-02 17:50","2025-12-02 13:07","","2025-12-02 12:26","2025-12-02 17:50","","2025-12-04 10:03","2025-12-02 17:50","","",""
"RAM-898","Task","GESTINE GRIGLIA SCONTI SCONTI IN ORDINE ALFABETICO","Released","2025-12-02 12:08","Low","","hotfix-5.283.126","0","58","785","0","-","0","0","-","20,096","1","-","-","-","20,940","2025-12-02 12:08","2025-12-02 12:46","2025-12-02 13:58","2025-12-02 12:44","","2025-12-02 12:44","2025-12-02 13:57","","2025-12-04 10:03","2025-12-02 13:58","","",""
"RAM-892","Bug","Allineamento contatori in crash a causa di un cambio nave","Released","2025-12-02 11:51","High","","hotfix-5.283.133","1","0","1,207","1,082","-","6","0","-","18,633","19","-","-","-","20,948","2025-12-02 11:51","2025-12-04 15:00","2025-12-04 15:19","2025-12-02 11:58","","2025-12-02 11:52","2025-12-04 15:00","","2025-12-09 10:26","2025-12-04 15:00","","",""
"RAM-891","Bug","OLTA - l'api order issue status non restituisce sempre i campi completed, successfull e processUid","Released","2025-12-02 11:26","Low","","hotfix-5.283.126","1","62","743","47","-","12","1","-","20,096","12","-","-","-","20,973","2025-12-02 11:26","2025-12-02 13:26","2025-12-02 14:41","2025-12-02 11:39","","2025-12-02 11:27","2025-12-02 14:28","","2025-12-04 10:03","2025-12-02 14:29","","",""
"RAM-890","[System] Service request","GESTINE GRIGLIA SCONTI // SCONTI IN ORDINE ALFABETICO","rejected","2025-12-02 11:17","Low","","","1","-","-","-","-","42","-","20,940","-","-","-","-","-","20,983","2025-12-02 11:17","","","","","2025-12-02 11:17","","2025-12-02 12:05","","","","",""
"RAM-889","Bug","GESTINE GRIGLIA SCONTI // VISUALIZZAZIONE DELLE DATE DI INIZIO E FINE VALIDITà ERRATA","Released","2025-12-02 11:16","Low","","hotfix-5.283.126","2","58","785","14","-","27","0","-","20,096","1","-","-","-","20,983","2025-12-02 11:16","2025-12-02 12:38","2025-12-02 13:58","2025-12-02 11:45","","2025-12-02 11:18","2025-12-02 13:57","","2025-12-04 10:03","2025-12-02 13:58","","",""
"RAM-888","Task","Gestire MethodArgumentTypeMismatchException","Released","2025-12-01 10:56","Low","","hotfix-5.283.120","0","43","368","20","-","0","0","-","21,052","0","-","-","-","21,484","2025-12-01 10:56","2025-12-01 11:16","2025-12-01 12:29","2025-12-01 10:56","","2025-12-01 10:56","2025-12-01 12:26","","2025-12-02 10:08","2025-12-01 12:26","","",""
"RAM-887","Bug","CVE-2018-1258","Released","2025-11-28 15:41","High","","","5","0","0","256","-","23","0","-","21,455","0","-","-","-","21,738","2025-11-28 15:41","2025-12-01 11:25","2025-12-01 11:25","2025-11-28 16:09","","2025-11-28 15:46","2025-12-01 11:25","","2025-12-01 11:25","2025-12-01 11:25","","",""
